term_en,term_pl,definition_en,definition_pl,pronunciation,example_sentence_en,example_sentence_pl,difficulty_level
algorithm,algorytm,A set of rules to solve a problem in a finite number of steps.,Zbiór reguł do rozwiązania problemu w skończonej liczbie kroków.,,The algorithm sorts data efficiently.,Algorytm sortuje dane efektywnie.,3
array,tablica,A collection of elements stored in contiguous memory locations.,Zbiór elementów przechowywanych w sąsiadujących lokalizacjach pamięci.,,The array holds multiple values.,Tablica przechowuje wiele wartości.,2
variable,zmienna,A named storage location for data.,Nazwana lokalizacja przechowywania danych.,,The variable stores user input.,Zmienna przechowuje dane wejściowe użytkownika.,1
function,funkcja,A block of code that performs a specific task.,Blok kodu wykonujący określone zadanie.,,This function calculates the sum.,Ta funkcja oblicza sumę.,3
loop,petla,A control structure that repeats a block of code.,Struktura sterująca powtarzająca blok kodu.,,The loop iterates over the list.,Pętla iteruje po liście.,2
condition,warunek,A statement that controls the flow of execution.,Instrukcja kontrolująca przepływ wykonania.,,The condition checks if the value is valid.,Warunek sprawdza, czy wartość jest poprawna.,2
object,obiekt,An instance of a class containing data and methods.,Instancja klasy zawierająca dane i metody.,,The object represents a user.,Obiekt reprezentuje użytkownika.,3
class,klasa,A blueprint for creating objects.,Schemat do tworzenia obiektów.,,The class defines properties and methods.,Klasa definiuje właściwości i metody.,4
method,metoda,A function associated with an object.,Funkcja powiązana z obiektem.,,The method updates the object’s state.,Metoda aktualizuje stan obiektu.,3
interface,interfejs,A contract specifying methods a class must implement.,Kontrakt określający metody, które klasa musi zaimplementować.,,The interface ensures consistency.,Interfejs zapewnia spójność.,4
module,moduł,A self-contained unit of code.,Samodzielna jednostka kodu.,,The module handles database operations.,Moduł obsługuje operacje na bazie danych.,3
bug,błąd,An error in the code causing unexpected behavior.,Błąd w kodzie powodujący nieoczekiwane zachowanie.,,The bug crashed the application.,Błąd spowodował awarię aplikacji.,2
debug,debugowanie,The process of finding and fixing errors in code.,Proces znajdowania i naprawy błędów w kodzie.,,I need to debug this function.,Muszę zdebugować tę funkcję.,3
compile,kompilacja,Translating source code into machine code.,Tłumaczenie kodu źródłowego na kod maszynowy.,,The program failed to compile.,Program nie skompilował się.,4
runtime,wykonanie,The time during which a program is running.,Czas, w którym program jest uruchomiony.,,A runtime error occurred.,Wystąpił błąd wykonania.,3
syntax,syntaksa,The set of rules defining code structure.,Zbiór reguł określających strukturę kodu.,,The syntax error was easy to fix.,Błąd składniowy był łatwy do naprawy.,2
variable,zmienna,A placeholder for storing data values.,Miejsce przechowywania wartości danych.,,This variable holds a number.,Ta zmienna przechowuje liczbę.,1
constant,stała,A value that cannot be changed.,Wartość, która nie może być zmieniona.,,The constant defines the maximum size.,Stała określa maksymalny rozmiar.,2
string,ciąg,A sequence of characters.,Sekwencja znaków.,,The string contains the user’s name.,Ciąg zawiera imię użytkownika.,2
integer,całkowita,A whole number without decimals.,Liczba całkowita bez ułamków.,,The integer represents the count.,Całkowita reprezentuje liczbę elementów.,1
float,zmiennoprzecinkowa,A number with a decimal point.,Liczba z częścią ułamkową.,,The float stores precise measurements.,Zmiennoprzecinkowa przechowuje dokładne pomiary.,2
boolean,logiczna,A data type with true or false values.,Typ danych z wartościami prawda lub fałsz.,,The boolean controls the logic.,Logiczna kontroluje logikę.,2
null,nic,A value representing no data.,Wartość oznaczająca brak danych.,,The variable is set to null.,Zmienna jest ustawiona na nic.,2
